time,x[m],y[m],rot[°]
04:49:52.941,1.6380,1.6394,160.9613
04:49:52.974,1.6360,1.6358,162.3209
04:49:52.974,1.6380,1.6361,162.6279
04:49:53.006,1.6371,1.6348,163.1249
04:49:53.038,1.6315,1.6366,163.1534
04:49:53.070,1.6330,1.6360,163.2002
04:49:53.102,1.6299,1.6371,163.2476
04:49:53.102,1.6317,1.6363,163.3122
04:49:53.134,1.6306,1.6350,162.7618
04:49:53.166,1.6327,1.6351,162.5037
04:49:53.198,1.6308,1.6335,161.7270
04:49:53.198,1.6316,1.6345,161.2790
04:49:53.232,1.6348,1.6301,160.1517
04:49:53.262,1.6370,1.6305,159.7600
04:49:53.295,1.6333,1.6328,160.1148
04:49:53.328,1.6309,1.6338,160.0859
04:49:53.328,1.6309,1.6338,160.0859
04:49:53.360,1.6332,1.6349,159.4158
04:49:53.392,1.6395,1.6301,158.5994
04:49:53.424,1.6395,1.6301,158.5994
04:49:53.424,1.6457,1.6303,159.4249
04:49:53.457,1.6487,1.6290,159.4633
04:49:53.489,1.6514,1.6283,159.5680
04:49:53.521,1.6524,1.6282,159.4768
04:49:53.553,1.6886,1.6189,160.5755
04:49:53.553,1.6888,1.6174,160.9497
04:49:53.585,1.7190,1.6109,161.8528
04:49:53.618,1.7184,1.6118,161.6897
04:49:53.651,1.7188,1.6155,162.5793
04:49:53.651,1.7179,1.6145,162.8756
04:49:53.683,1.7134,1.6144,162.5144
04:49:53.715,1.7143,1.6140,162.5321
04:49:53.747,1.7139,1.6144,162.5902
04:49:53.780,1.7120,1.6166,162.2102
04:49:53.780,1.7120,1.6166,162.2102
04:49:53.810,1.7122,1.6145,162.6893
04:49:53.844,1.7161,1.6187,163.9454
04:49:53.876,1.7144,1.6166,164.5338
04:49:53.876,1.7068,1.6145,163.4943
04:49:53.908,1.7072,1.6159,163.1063
04:49:53.939,1.7027,1.6169,163.0024
04:49:53.971,1.6975,1.6171,163.3354
04:49:53.971,1.6842,1.6226,163.7351
04:49:54.004,1.6826,1.6258,163.0568
04:49:54.037,1.6746,1.6281,163.0321
04:49:54.068,1.6711,1.6272,163.5412
04:49:54.100,1.6657,1.6261,162.8260
04:49:54.100,1.6643,1.6267,162.7900
04:49:54.133,1.6582,1.6257,162.0131
04:49:54.164,1.6594,1.6328,160.0211
04:49:54.197,1.6543,1.6343,159.9447
04:49:54.197,1.6483,1.6289,161.9672
04:49:54.228,1.6467,1.6267,161.2271
04:49:54.260,1.6473,1.6271,161.0683
04:49:54.293,1.6501,1.6213,159.7901
04:49:54.325,1.6509,1.6243,158.9256
04:49:54.325,1.6469,1.6212,157.7080
04:49:54.357,1.6452,1.6233,157.3425
04:49:54.390,1.6482,1.6234,157.6779
04:49:54.426,1.6473,1.6238,157.6772
04:49:54.426,1.6501,1.6208,157.2246
04:49:54.454,1.6468,1.6218,157.3045
04:49:54.486,1.6519,1.6203,157.4359
04:49:54.518,1.6517,1.6222,156.9905
04:49:54.518,1.6533,1.6238,157.5242
04:49:54.549,1.6502,1.6224,158.1554
04:49:54.582,1.6512,1.6235,158.4991
04:49:54.614,1.6487,1.6229,158.8609
04:49:54.645,1.6482,1.6230,158.8413
04:49:54.645,1.6470,1.6228,159.0006
04:49:54.678,1.6555,1.6222,159.6196
04:49:54.710,1.6552,1.6210,159.9229
04:49:54.742,1.6578,1.6221,160.3766
04:49:54.742,1.6519,1.6213,161.0060
04:49:54.775,1.6514,1.6215,160.9914
04:49:54.810,1.6513,1.6170,161.9845
04:49:54.843,1.6612,1.6182,162.9333
04:49:54.870,1.6627,1.6172,163.0527
04:49:54.870,1.6600,1.6174,162.9224
04:49:54.903,1.6577,1.6189,162.7659
04:49:54.935,1.6539,1.6200,162.7550
04:49:54.966,1.6536,1.6156,163.7472
04:49:54.966,1.6554,1.6168,164.1271
04:49:54.999,1.6552,1.6162,164.2780
04:49:55.031,1.6580,1.6095,162.9881
04:49:55.063,1.6603,1.6105,162.6104
04:49:55.096,1.6640,1.6079,162.2971
04:49:55.096,1.6660,1.6074,162.2728
04:49:55.127,1.6707,1.6067,162.4359
04:49:55.160,1.6694,1.6052,162.8396
04:49:55.210,1.6683,1.6054,162.8172
